Países;Quantidade (Kg);Valor (US$);Year;Category;Subcategory
Marrocos;-;-;1970;Importacao;Vinhos_de_Mesa
México;-;-;1970;Importacao;Vinhos_de_Mesa
Moldávia;-;-;1970;Importacao;Vinhos_de_Mesa
Montenegro;-;-;1970;Importacao;Vinhos_de_Mesa
Noruega;-;-;1970;Importacao;Vinhos_de_Mesa
Nova Zelândia;-;-;1970;Importacao;Vinhos_de_Mesa
Países Baixos (Holanda);-;-;1970;Importacao;Vinhos_de_Mesa
Panamá;-;-;1970;Importacao;Vinhos_de_Mesa
Peru;-;-;1970;Importacao;Vinhos_de_Mesa
Porto Rico;-;-;1970;Importacao;Vinhos_de_Mesa
Portugal;785.609;531.480;1970;Importacao;Vinhos_de_Mesa
Reino Unido;-;-;1970;Importacao;Vinhos_de_Mesa
Republica Dominicana;-;-;1970;Importacao;Vinhos_de_Mesa
Romênia;-;-;1970;Importacao;Vinhos_de_Mesa
Rússia;-;-;1970;Importacao;Vinhos_de_Mesa
San Marino;-;-;1970;Importacao;Vinhos_de_Mesa
Sérvia;-;-;1970;Importacao;Vinhos_de_Mesa
Síria;-;-;1970;Importacao;Vinhos_de_Mesa
Suazilândia;-;-;1970;Importacao;Vinhos_de_Mesa
Suíça;-;-;1970;Importacao;Vinhos_de_Mesa
Tcheca, República;-;-;1970;Importacao;Vinhos_de_Mesa
Tunísia;-;-;1970;Importacao;Vinhos_de_Mesa
Turquia;-;-;1970;Importacao;Vinhos_de_Mesa
Ucrânia;-;-;1970;Importacao;Vinhos_de_Mesa
Uruguai;5.767;1.871;1970;Importacao;Vinhos_de_Mesa
Não consta na tabela;-;-;1970;Importacao;Vinhos_de_Mesa
Não declarados;-;-;1970;Importacao;Vinhos_de_Mesa
Outros;5.508;4.255;1970;Importacao;Vinhos_de_Mesa
Total;1.444.578;883.886;1970;Importacao;Vinhos_de_Mesa
Africa do Sul;-;-;1970;Importacao;Espumantes
Alemanha;-;-;1970;Importacao;Espumantes
Argentina;4.980;3.836;1970;Importacao;Espumantes
Austrália;-;-;1970;Importacao;Espumantes
Áustria;-;-;1970;Importacao;Espumantes
Bermudas;-;-;1970;Importacao;Espumantes
Bahamas;-;-;1970;Importacao;Espumantes
Bélgica;-;-;1970;Importacao;Espumantes
Brasil;-;-;1970;Importacao;Espumantes
Bulgária;-;-;1970;Importacao;Espumantes
Canada;-;-;1970;Importacao;Espumantes
Chile;-;-;1970;Importacao;Espumantes
Croácia;-;-;1970;Importacao;Espumantes
Cuba;-;-;1970;Importacao;Espumantes
Emirados Árabes Unidos;-;-;1970;Importacao;Espumantes
Eslovênia;-;-;1970;Importacao;Espumantes
Espanha;12.981;8.568;1970;Importacao;Espumantes
Estados Unidos;-;-;1970;Importacao;Espumantes
França;18.458;45.798;1970;Importacao;Espumantes
Geórgia;-;-;1970;Importacao;Espumantes
Granada;-;-;1970;Importacao;Espumantes
Grécia;-;-;1970;Importacao;Espumantes
Hong Kong;-;-;1970;Importacao;Espumantes
Hungria;-;-;1970;Importacao;Espumantes
Indonésia;-;-;1970;Importacao;Espumantes
Irlanda;-;-;1970;Importacao;Espumantes
Israel;-;-;1970;Importacao;Espumantes
Itália;-;-;1970;Importacao;Espumantes
Luxemburgo;-;-;1970;Importacao;Espumantes
México;-;-;1970;Importacao;Espumantes
Moldávia;-;-;1970;Importacao;Espumantes
Nova Zelândia;-;-;1970;Importacao;Espumantes
Países Baixos;-;-;1970;Importacao;Espumantes
Panamá;-;-;1970;Importacao;Espumantes
Peru;-;-;1970;Importacao;Espumantes
Portugal;1.603;2.240;1970;Importacao;Espumantes
Reino Unido;-;-;1970;Importacao;Espumantes
Romênia;-;-;1970;Importacao;Espumantes
Suíça;-;-;1970;Importacao;Espumantes
Tunísia;-;-;1970;Importacao;Espumantes
Ucrânia;-;-;1970;Importacao;Espumantes
Uruguai;-;-;1970;Importacao;Espumantes
Não consta na tabela;-;-;1970;Importacao;Espumantes
Não declarados;-;-;1970;Importacao;Espumantes
Outros;291;1.859;1970;Importacao;Espumantes
Total;38.313;62.301;1970;Importacao;Espumantes
Argélia;-;-;1970;Importacao;Uvas_Frescas
Argentina;2.412.831;782.408;1970;Importacao;Uvas_Frescas
Brasil;-;-;1970;Importacao;Uvas_Frescas
Chile;1.557.316;409.704;1970;Importacao;Uvas_Frescas
Colômbia;-;-;1970;Importacao;Uvas_Frescas
Egito;-;-;1970;Importacao;Uvas_Frescas
Espanha;1.231.522;404.105;1970;Importacao;Uvas_Frescas
Estados Unidos;94.669;39.610;1970;Importacao;Uvas_Frescas
Grécia;126.248;25.488;1970;Importacao;Uvas_Frescas
Itália;-;-;1970;Importacao;Uvas_Frescas
México;23.240;11.024;1970;Importacao;Uvas_Frescas
Peru;-;-;1970;Importacao;Uvas_Frescas
Paraguai;-;-;1970;Importacao;Uvas_Frescas
Portugal;28.150;13.872;1970;Importacao;Uvas_Frescas
Panamá;-;-;1970;Importacao;Uvas_Frescas
Reino Unido;-;-;1970;Importacao;Uvas_Frescas
Uruguai;-;-;1970;Importacao;Uvas_Frescas
Venezuela;-;-;1970;Importacao;Uvas_Frescas
Não consta na tabela;-;-;1970;Importacao;Uvas_Frescas
Outros;-;-;1970;Importacao;Uvas_Frescas
Total;5.473.976;1.686.211;1970;Importacao;Uvas_Frescas
Afeganistão;-;-;1970;Importacao;Uvas_passas
África do Sul;-;-;1970;Importacao;Uvas_passas
Alemanha, República Democrática;-;-;1970;Importacao;Uvas_passas
Arábia Saudita;-;-;1970;Importacao;Uvas_passas
Argentina;1.530.058;845.068;1970;Importacao;Uvas_passas
Austrália;-;-;1970;Importacao;Uvas_passas
Bélgica;-;-;1970;Importacao;Uvas_passas
Chile;4.000;1.040;1970;Importacao;Uvas_passas
China;-;-;1970;Importacao;Uvas_passas
China Continental;-;-;1970;Importacao;Uvas_passas
Cingapura;-;-;1970;Importacao;Uvas_passas
Costa Rica;-;-;1970;Importacao;Uvas_passas
Emirados;-;-;1970;Importacao;Uvas_passas
Espanha;20.000;9.584;1970;Importacao;Uvas_passas
Estados Unidos;415.210;305.494;1970;Importacao;Uvas_passas
França;-;-;1970;Importacao;Uvas_passas
Grécia;178.475;56.586;1970;Importacao;Uvas_passas
Guiana Britânica;334;202;1970;Importacao;Uvas_passas
Índia;-;-;1970;Importacao;Uvas_passas
Irã;-;-;1970;Importacao;Uvas_passas
Itália;33.600;11.396;1970;Importacao;Uvas_passas
Japão;-;-;1970;Importacao;Uvas_passas
México;170.172;100.310;1970;Importacao;Uvas_passas
Países Baixos;104;91;1970;Importacao;Uvas_passas
Paraguai;-;-;1970;Importacao;Uvas_passas
Peru;-;-;1970;Importacao;Uvas_passas
Portugal;-;-;1970;Importacao;Uvas_passas
Reino Unido;39;29;1970;Importacao;Uvas_passas
Suécia;12.000;3.866;1970;Importacao;Uvas_passas
Turquia;124.832;41.962;1970;Importacao;Uvas_passas
Uruguai;-;-;1970;Importacao;Uvas_passas
Uzbequistão;-;-;1970;Importacao;Uvas_passas
Venezuela;-;-;1970;Importacao;Uvas_passas
Não consta na tabela;-;-;1970;Importacao;Uvas_passas
Outros;-;-;1970;Importacao;Uvas_passas
Total;2.488.824;1.375.628;1970;Importacao;Uvas_passas
Africa do Sul;-;-;1970;Importacao;Suco_de_uva
Alemanha;-;-;1970;Importacao;Suco_de_uva
Argentina;-;-;1970;Importacao;Suco_de_uva
Austria;-;-;1970;Importacao;Suco_de_uva
Canadá;-;-;1970;Importacao;Suco_de_uva
Coreia do Sul, República;-;-;1970;Importacao;Suco_de_uva
Coreia do Norte, República;-;-;1970;Importacao;Suco_de_uva
Chile;-;-;1970;Importacao;Suco_de_uva
China;-;-;1970;Importacao;Suco_de_uva
Dinamarca;-;-;1970;Importacao;Suco_de_uva
Espanha;-;-;1970;Importacao;Suco_de_uva
Estados Unidos;-;-;1970;Importacao;Suco_de_uva
França;-;-;1970;Importacao;Suco_de_uva
Guiana;-;-;1970;Importacao;Suco_de_uva
Israel;-;-;1970;Importacao;Suco_de_uva
itália;-;-;1970;Importacao;Suco_de_uva
Japão;-;-;1970;Importacao;Suco_de_uva
Líbano;-;-;1970;Importacao;Suco_de_uva
México;-;-;1970;Importacao;Suco_de_uva
Países Baixos;-;-;1970;Importacao;Suco_de_uva
Panamá;-;-;1970;Importacao;Suco_de_uva
Peru;-;-;1970;Importacao;Suco_de_uva
Portugal;-;-;1970;Importacao;Suco_de_uva
Reino Unido;-;-;1970;Importacao;Suco_de_uva
Taiwan;-;-;1970;Importacao;Suco_de_uva
Turquia;-;-;1970;Importacao;Suco_de_uva
Uruguai;-;-;1970;Importacao;Suco_de_uva
Venezuela;-;-;1970;Importacao;Suco_de_uva
Outros;-;-;1970;Importacao;Suco_de_uva
Total;0;0;1970;Importacao;Suco_de_uva
Africa do Sul;-;-;1971;Importacao;Vinhos_de_Mesa
Alemanha;34.606;26.027;1971;Importacao;Vinhos_de_Mesa
Argélia;-;-;1971;Importacao;Vinhos_de_Mesa
Arábia Saudita;-;-;1971;Importacao;Vinhos_de_Mesa
Argentina;24.942;15.022;1971;Importacao;Vinhos_de_Mesa
Armênia;-;-;1971;Importacao;Vinhos_de_Mesa
Austrália;-;-;1971;Importacao;Vinhos_de_Mesa
Áustria;-;-;1971;Importacao;Vinhos_de_Mesa
Bermudas;-;-;1971;Importacao;Vinhos_de_Mesa
Bélgica;-;-;1971;Importacao;Vinhos_de_Mesa
Bolívia;-;-;1971;Importacao;Vinhos_de_Mesa
Bósnia-Herzegovina;-;-;1971;Importacao;Vinhos_de_Mesa
Brasil;-;-;1971;Importacao;Vinhos_de_Mesa
Bulgária;-;-;1971;Importacao;Vinhos_de_Mesa
Canada;-;-;1971;Importacao;Vinhos_de_Mesa
Chile;74.406;52.240;1971;Importacao;Vinhos_de_Mesa
China;-;-;1971;Importacao;Vinhos_de_Mesa
Coreia do Sul, República;-;-;1971;Importacao;Vinhos_de_Mesa
Croácia;-;-;1971;Importacao;Vinhos_de_Mesa
Cuba;-;-;1971;Importacao;Vinhos_de_Mesa
Emirados Árabes Unidos;-;-;1971;Importacao;Vinhos_de_Mesa
Eslovênia;-;-;1971;Importacao;Vinhos_de_Mesa
Eslováquia;-;-;1971;Importacao;Vinhos_de_Mesa
Espanha;140.507;50.191;1971;Importacao;Vinhos_de_Mesa
Estados Unidos;915;190;1971;Importacao;Vinhos_de_Mesa
França;88.714;72.978;1971;Importacao;Vinhos_de_Mesa
Geórgia;-;-;1971;Importacao;Vinhos_de_Mesa
Geórgia do Sul e Sandwich do Sul, Ilhas;-;-;1971;Importacao;Vinhos_de_Mesa
Grécia;-;-;1971;Importacao;Vinhos_de_Mesa
Hong Kong;-;-;1971;Importacao;Vinhos_de_Mesa
Hungria;-;-;1971;Importacao;Vinhos_de_Mesa
Indonésia;-;-;1971;Importacao;Vinhos_de_Mesa
Irlanda;-;-;1971;Importacao;Vinhos_de_Mesa
Israel;-;-;1971;Importacao;Vinhos_de_Mesa
Itália;108.409;56.377;1971;Importacao;Vinhos_de_Mesa
Japão;-;-;1971;Importacao;Vinhos_de_Mesa
Iugoslávia;640;375;1971;Importacao;Vinhos_de_Mesa
Líbano;-;-;1971;Importacao;Vinhos_de_Mesa
Luxemburgo;-;-;1971;Importacao;Vinhos_de_Mesa
Macedônia;-;-;1971;Importacao;Vinhos_de_Mesa
Marrocos;-;-;1971;Importacao;Vinhos_de_Mesa
México;-;-;1971;Importacao;Vinhos_de_Mesa
Moldávia;-;-;1971;Importacao;Vinhos_de_Mesa
Montenegro;-;-;1971;Importacao;Vinhos_de_Mesa
Noruega;-;-;1971;Importacao;Vinhos_de_Mesa
Nova Zelândia;-;-;1971;Importacao;Vinhos_de_Mesa
Países Baixos (Holanda);-;-;1971;Importacao;Vinhos_de_Mesa
Panamá;-;-;1971;Importacao;Vinhos_de_Mesa
Peru;-;-;1971;Importacao;Vinhos_de_Mesa
Porto Rico;-;-;1971;Importacao;Vinhos_de_Mesa
Portugal;897.310;620.790;1971;Importacao;Vinhos_de_Mesa
Reino Unido;-;-;1971;Importacao;Vinhos_de_Mesa
Republica Dominicana;-;-;1971;Importacao;Vinhos_de_Mesa
Romênia;-;-;1971;Importacao;Vinhos_de_Mesa
Rússia;-;-;1971;Importacao;Vinhos_de_Mesa
San Marino;-;-;1971;Importacao;Vinhos_de_Mesa
Sérvia;-;-;1971;Importacao;Vinhos_de_Mesa
Síria;-;-;1971;Importacao;Vinhos_de_Mesa
Suazilândia;-;-;1971;Importacao;Vinhos_de_Mesa
Suíça;-;-;1971;Importacao;Vinhos_de_Mesa
Tcheca, República;-;-;1971;Importacao;Vinhos_de_Mesa
Tunísia;-;-;1971;Importacao;Vinhos_de_Mesa
Turquia;-;-;1971;Importacao;Vinhos_de_Mesa
Ucrânia;-;-;1971;Importacao;Vinhos_de_Mesa
Uruguai;1.917;636;1971;Importacao;Vinhos_de_Mesa
Não consta na tabela;-;-;1971;Importacao;Vinhos_de_Mesa
Não declarados;-;-;1971;Importacao;Vinhos_de_Mesa
Outros;77.789;42.028;1971;Importacao;Vinhos_de_Mesa
Total;1.450.155;936.854;1971;Importacao;Vinhos_de_Mesa
Africa do Sul;-;-;1971;Importacao;Espumantes
Alemanha;25;36;1971;Importacao;Espumantes
Argentina;8.811;7.543;1971;Importacao;Espumantes
Austrália;-;-;1971;Importacao;Espumantes
Áustria;-;-;1971;Importacao;Espumantes
Bermudas;-;-;1971;Importacao;Espumantes
Bahamas;-;-;1971;Importacao;Espumantes
Bélgica;-;-;1971;Importacao;Espumantes
Brasil;-;-;1971;Importacao;Espumantes
Bulgária;-;-;1971;Importacao;Espumantes
Canada;-;-;1971;Importacao;Espumantes
Chile;-;-;1971;Importacao;Espumantes
Croácia;-;-;1971;Importacao;Espumantes
Cuba;-;-;1971;Importacao;Espumantes
Emirados Árabes Unidos;-;-;1971;Importacao;Espumantes
Eslovênia;-;-;1971;Importacao;Espumantes
Espanha;7.865;5.230;1971;Importacao;Espumantes
Estados Unidos;-;-;1971;Importacao;Espumantes
França;26.523;72.645;1971;Importacao;Espumantes
Geórgia;-;-;1971;Importacao;Espumantes
Granada;-;-;1971;Importacao;Espumantes
Grécia;-;-;1971;Importacao;Espumantes
Hong Kong;-;-;1971;Importacao;Espumantes
Hungria;-;-;1971;Importacao;Espumantes
Indonésia;-;-;1971;Importacao;Espumantes
Irlanda;-;-;1971;Importacao;Espumantes
Israel;360;349;1971;Importacao;Espumantes
Itália;554;485;1971;Importacao;Espumantes
Luxemburgo;-;-;1971;Importacao;Espumantes
México;-;-;1971;Importacao;Espumantes
Moldávia;-;-;1971;Importacao;Espumantes
Nova Zelândia;-;-;1971;Importacao;Espumantes
Países Baixos;-;-;1971;Importacao;Espumantes
Panamá;-;-;1971;Importacao;Espumantes
Peru;-;-;1971;Importacao;Espumantes
Portugal;2.054;3.090;1971;Importacao;Espumantes
Reino Unido;-;-;1971;Importacao;Espumantes
Romênia;-;-;1971;Importacao;Espumantes
Suíça;-;-;1971;Importacao;Espumantes
Tunísia;-;-;1971;Importacao;Espumantes
Ucrânia;-;-;1971;Importacao;Espumantes
Uruguai;-;-;1971;Importacao;Espumantes
Não consta na tabela;-;-;1971;Importacao;Espumantes
Não declarados;-;-;1971;Importacao;Espumantes
Outros;3.772;2.358;1971;Importacao;Espumantes
Total;49.964;91.736;1971;Importacao;Espumantes
Argélia;-;-;1971;Importacao;Uvas_Frescas
Argentina;1.805.310;684.328;1971;Importacao;Uvas_Frescas
Brasil;-;-;1971;Importacao;Uvas_Frescas
Chile;1.485.897;381.705;1971;Importacao;Uvas_Frescas
Colômbia;3.312;2.168;1971;Importacao;Uvas_Frescas
Egito;-;-;1971;Importacao;Uvas_Frescas
Espanha;1.371.457;433.924;1971;Importacao;Uvas_Frescas
Estados Unidos;12.403;5.760;1971;Importacao;Uvas_Frescas
Grécia;74.700;14.940;1971;Importacao;Uvas_Frescas
Itália;9.960;1.195;1971;Importacao;Uvas_Frescas
México;12.000;4.800;1971;Importacao;Uvas_Frescas
Peru;-;-;1971;Importacao;Uvas_Frescas
Paraguai;-;-;1971;Importacao;Uvas_Frescas
Portugal;800;438;1971;Importacao;Uvas_Frescas
Panamá;-;-;1971;Importacao;Uvas_Frescas
Reino Unido;-;-;1971;Importacao;Uvas_Frescas
Uruguai;-;-;1971;Importacao;Uvas_Frescas
Venezuela;400;511;1971;Importacao;Uvas_Frescas
Não consta na tabela;-;-;1971;Importacao;Uvas_Frescas
Outros;-;-;1971;Importacao;Uvas_Frescas
Total;4.776.239;1.529.769;1971;Importacao;Uvas_Frescas
Afeganistão;-;-;1971;Importacao;Uvas_passas
África do Sul;-;-;1971;Importacao;Uvas_passas
Alemanha, República Democrática;-;-;1971;Importacao;Uvas_passas
Arábia Saudita;-;-;1971;Importacao;Uvas_passas
Argentina;1.206.326;936.632;1971;Importacao;Uvas_passas
Austrália;-;-;1971;Importacao;Uvas_passas
Bélgica;-;-;1971;Importacao;Uvas_passas
Chile;-;-;1971;Importacao;Uvas_passas
China;-;-;1971;Importacao;Uvas_passas
China Continental;-;-;1971;Importacao;Uvas_passas
Cingapura;-;-;1971;Importacao;Uvas_passas
Costa Rica;-;-;1971;Importacao;Uvas_passas
Emirados;-;-;1971;Importacao;Uvas_passas
Espanha;15.000;14.403;1971;Importacao;Uvas_passas
Estados Unidos;429.346;292.067;1971;Importacao;Uvas_passas
França;-;-;1971;Importacao;Uvas_passas
Grécia;302.825;95.349;1971;Importacao;Uvas_passas
Guiana Britânica;-;-;1971;Importacao;Uvas_passas
Índia;-;-;1971;Importacao;Uvas_passas
Irã;-;-;1971;Importacao;Uvas_passas
Itália;27.860;7.104;1971;Importacao;Uvas_passas
Japão;7.221;4.458;1971;Importacao;Uvas_passas
México;209.257;129.483;1971;Importacao;Uvas_passas
Países Baixos;-;-;1971;Importacao;Uvas_passas
Paraguai;-;-;1971;Importacao;Uvas_passas
Peru;-;-;1971;Importacao;Uvas_passas
Portugal;-;-;1971;Importacao;Uvas_passas
Reino Unido;211;174;1971;Importacao;Uvas_passas
Suécia;-;-;1971;Importacao;Uvas_passas
Turquia;306.025;88.018;1971;Importacao;Uvas_passas
Uruguai;-;-;1971;Importacao;Uvas_passas
Uzbequistão;-;-;1971;Importacao;Uvas_passas
Venezuela;-;-;1971;Importacao;Uvas_passas
Não consta na tabela;-;-;1971;Importacao;Uvas_passas
Outros;-;-;1971;Importacao;Uvas_passas
Total;2.504.071;1.567.688;1971;Importacao;Uvas_passas
Africa do Sul;-;-;1971;Importacao;Suco_de_uva
Alemanha;-;-;1971;Importacao;Suco_de_uva
Argentina;-;-;1971;Importacao;Suco_de_uva
Austria;-;-;1971;Importacao;Suco_de_uva
Canadá;-;-;1971;Importacao;Suco_de_uva
Coreia do Sul, República;-;-;1971;Importacao;Suco_de_uva
Coreia do Norte, República;-;-;1971;Importacao;Suco_de_uva
Chile;-;-;1971;Importacao;Suco_de_uva
China;-;-;1971;Importacao;Suco_de_uva
Dinamarca;34;16;1971;Importacao;Suco_de_uva
Espanha;-;-;1971;Importacao;Suco_de_uva
Estados Unidos;210;777;1971;Importacao;Suco_de_uva
França;81;48;1971;Importacao;Suco_de_uva
Guiana;-;-;1971;Importacao;Suco_de_uva
Israel;-;-;1971;Importacao;Suco_de_uva
itália;-;-;1971;Importacao;Suco_de_uva
Japão;-;-;1971;Importacao;Suco_de_uva
Líbano;-;-;1971;Importacao;Suco_de_uva
México;-;-;1971;Importacao;Suco_de_uva
Países Baixos;-;-;1971;Importacao;Suco_de_uva
Panamá;-;-;1971;Importacao;Suco_de_uva
Peru;-;-;1971;Importacao;Suco_de_uva
Portugal;160;109;1971;Importacao;Suco_de_uva
Reino Unido;-;-;1971;Importacao;Suco_de_uva
Taiwan;-;-;1971;Importacao;Suco_de_uva
Turquia;-;-;1971;Importacao;Suco_de_uva
Uruguai;-;-;1971;Importacao;Suco_de_uva
Venezuela;-;-;1971;Importacao;Suco_de_uva
Outros;-;-;1971;Importacao;Suco_de_uva
Total;485;950;1971;Importacao;Suco_de_uva
Africa do Sul;-;-;1972;Importacao;Vinhos_de_Mesa
Alemanha;134.438;92.103;1972;Importacao;Vinhos_de_Mesa
Argélia;-;-;1972;Importacao;Vinhos_de_Mesa
Arábia Saudita;-;-;1972;Importacao;Vinhos_de_Mesa
Argentina;104.906;58.137;1972;Importacao;Vinhos_de_Mesa
Armênia;-;-;1972;Importacao;Vinhos_de_Mesa
Austrália;-;-;1972;Importacao;Vinhos_de_Mesa
Áustria;353;520;1972;Importacao;Vinhos_de_Mesa
Bermudas;-;-;1972;Importacao;Vinhos_de_Mesa
Bélgica;-;-;1972;Importacao;Vinhos_de_Mesa
Bolívia;-;-;1972;Importacao;Vinhos_de_Mesa
Bósnia-Herzegovina;-;-;1972;Importacao;Vinhos_de_Mesa
Brasil;-;-;1972;Importacao;Vinhos_de_Mesa
Bulgária;-;-;1972;Importacao;Vinhos_de_Mesa
Canada;-;-;1972;Importacao;Vinhos_de_Mesa
Chile;161.736;95.654;1972;Importacao;Vinhos_de_Mesa
China;-;-;1972;Importacao;Vinhos_de_Mesa
Coreia do Sul, República;-;-;1972;Importacao;Vinhos_de_Mesa
Croácia;-;-;1972;Importacao;Vinhos_de_Mesa
Cuba;-;-;1972;Importacao;Vinhos_de_Mesa
Emirados Árabes Unidos;-;-;1972;Importacao;Vinhos_de_Mesa
Eslovênia;-;-;1972;Importacao;Vinhos_de_Mesa
Eslováquia;-;-;1972;Importacao;Vinhos_de_Mesa
Espanha;300.582;116.710;1972;Importacao;Vinhos_de_Mesa
Estados Unidos;2.156;1.337;1972;Importacao;Vinhos_de_Mesa
França;176.688;173.001;1972;Importacao;Vinhos_de_Mesa
Geórgia;-;-;1972;Importacao;Vinhos_de_Mesa
Geórgia do Sul e Sandwich do Sul, Ilhas;-;-;1972;Importacao;Vinhos_de_Mesa
Grécia;-;-;1972;Importacao;Vinhos_de_Mesa
Hong Kong;-;-;1972;Importacao;Vinhos_de_Mesa
Hungria;-;-;1972;Importacao;Vinhos_de_Mesa
Indonésia;-;-;1972;Importacao;Vinhos_de_Mesa
Irlanda;-;-;1972;Importacao;Vinhos_de_Mesa
Israel;-;-;1972;Importacao;Vinhos_de_Mesa
Itália;142.196;96.943;1972;Importacao;Vinhos_de_Mesa
Japão;-;-;1972;Importacao;Vinhos_de_Mesa
Iugoslávia;1.824;1.137;1972;Importacao;Vinhos_de_Mesa
Líbano;-;-;1972;Importacao;Vinhos_de_Mesa
Luxemburgo;-;-;1972;Importacao;Vinhos_de_Mesa
Macedônia;-;-;1972;Importacao;Vinhos_de_Mesa
Marrocos;-;-;1972;Importacao;Vinhos_de_Mesa
México;-;-;1972;Importacao;Vinhos_de_Mesa
Moldávia;-;-;1972;Importacao;Vinhos_de_Mesa
Montenegro;-;-;1972;Importacao;Vinhos_de_Mesa
Noruega;-;-;1972;Importacao;Vinhos_de_Mesa
Nova Zelândia;-;-;1972;Importacao;Vinhos_de_Mesa
Países Baixos (Holanda);-;-;1972;Importacao;Vinhos_de_Mesa
Panamá;-;-;1972;Importacao;Vinhos_de_Mesa
Peru;-;-;1972;Importacao;Vinhos_de_Mesa
Porto Rico;-;-;1972;Importacao;Vinhos_de_Mesa
Portugal;1.650.727;1.226.232;1972;Importacao;Vinhos_de_Mesa
Reino Unido;-;-;1972;Importacao;Vinhos_de_Mesa
Republica Dominicana;-;-;1972;Importacao;Vinhos_de_Mesa
Romênia;-;-;1972;Importacao;Vinhos_de_Mesa
Rússia;-;-;1972;Importacao;Vinhos_de_Mesa
San Marino;-;-;1972;Importacao;Vinhos_de_Mesa
Sérvia;-;-;1972;Importacao;Vinhos_de_Mesa
Síria;-;-;1972;Importacao;Vinhos_de_Mesa
Suazilândia;-;-;1972;Importacao;Vinhos_de_Mesa
Suíça;-;-;1972;Importacao;Vinhos_de_Mesa
Tcheca, República;-;-;1972;Importacao;Vinhos_de_Mesa
Tunísia;-;-;1972;Importacao;Vinhos_de_Mesa
Turquia;-;-;1972;Importacao;Vinhos_de_Mesa
Ucrânia;-;-;1972;Importacao;Vinhos_de_Mesa
Uruguai;7.394;2.741;1972;Importacao;Vinhos_de_Mesa
Não consta na tabela;-;-;1972;Importacao;Vinhos_de_Mesa
Não declarados;-;-;1972;Importacao;Vinhos_de_Mesa
Outros;79.052;25.032;1972;Importacao;Vinhos_de_Mesa
Total;2.762.052;1.889.547;1972;Importacao;Vinhos_de_Mesa
Africa do Sul;-;-;1972;Importacao;Espumantes
Alemanha;2.864;2.479;1972;Importacao;Espumantes
Argentina;35.301;26.909;1972;Importacao;Espumantes
Austrália;-;-;1972;Importacao;Espumantes
Áustria;-;-;1972;Importacao;Espumantes
Bermudas;-;-;1972;Importacao;Espumantes
Bahamas;-;-;1972;Importacao;Espumantes
Bélgica;-;-;1972;Importacao;Espumantes
Brasil;-;-;1972;Importacao;Espumantes
Bulgária;-;-;1972;Importacao;Espumantes
Canada;-;-;1972;Importacao;Espumantes
Chile;201;192;1972;Importacao;Espumantes
Croácia;-;-;1972;Importacao;Espumantes
Cuba;-;-;1972;Importacao;Espumantes
